f_Hz,S21_dB
2.91743e+07,-86.4094
2.95121e+07,-85.9951
2.98538e+07,-85.5877
3.01995e+07,-85.1871
3.05492e+07,-84.7931
3.0903e+07,-84.4056
3.12608e+07,-84.0243
3.16228e+07,-83.6491
3.1989e+07,-83.2798
3.23594e+07,-82.9161
3.27341e+07,-82.5578
3.31131e+07,-82.2048
3.34965e+07,-81.8569
3.38844e+07,-81.5138
3.42768e+07,-81.1754
3.46737e+07,-80.8415
3.50752e+07,-80.512
3.54813e+07,-80.1866
3.58922e+07,-79.8653
3.63078e+07,-79.5478
3.67282e+07,-79.234
3.71535e+07,-78.9238
3.75837e+07,-78.6171
3.80189e+07,-78.3136
3.84592e+07,-78.0134
3.89045e+07,-77.7163
3.9355e+07,-77.4221
3.98107e+07,-77.1308
4.02717e+07,-76.8422
4.0738e+07,-76.5563
4.12098e+07,-76.2729
4.16869e+07,-75.9921
4.21697e+07,-75.7136
4.2658e+07,-75.4374
4.31519e+07,-75.1635
4.36516e+07,-74.8917
4.4157e+07,-74.622
4.46684e+07,-74.3543
4.51856e+07,-74.0886
4.57088e+07,-73.8247
4.62381e+07,-73.5626
4.67735e+07,-73.3024
4.73151e+07,-73.0438
4.7863e+07,-72.7869
4.84172e+07,-72.5315
4.89779e+07,-72.2777
4.9545e+07,-72.0255
5.01187e+07,-71.7746
5.06991e+07,-71.5252
5.12861e+07,-71.2772
5.188e+07,-71.0304
5.24807e+07,-70.785
5.30884e+07,-70.5408
5.37032e+07,-70.2978
5.4325e+07,-70.056
5.49541e+07,-69.8154
5.55904e+07,-69.5758
5.62341e+07,-69.3374
5.68853e+07,-69.0999
5.7544e+07,-68.8635
5.82103e+07,-68.6281
5.88844e+07,-68.3937
5.95662e+07,-68.1601
6.0256e+07,-67.9275
6.09537e+07,-67.6958
6.16595e+07,-67.4649
6.23735e+07,-67.2349
6.30957e+07,-67.0057
6.38263e+07,-66.7773
6.45654e+07,-66.5496
6.53131e+07,-66.3227
6.60693e+07,-66.0966
6.68344e+07,-65.8711
6.76083e+07,-65.6464
6.83912e+07,-65.4223
6.91831e+07,-65.1989
6.99842e+07,-64.9761
7.07946e+07,-64.754
7.16143e+07,-64.5325
7.24436e+07,-64.3116
7.32825e+07,-64.0913
7.4131e+07,-63.8715
7.49894e+07,-63.6523
7.58578e+07,-63.4337
7.67361e+07,-63.2155
7.76247e+07,-62.9979
7.85236e+07,-62.7808
7.94328e+07,-62.5643
8.03526e+07,-62.3481
8.12831e+07,-62.1325
8.22243e+07,-61.9173
8.31764e+07,-61.7026
8.41395e+07,-61.4884
8.51138e+07,-61.2746
8.60994e+07,-61.0612
8.70964e+07,-60.8482
8.81049e+07,-60.6356
8.91251e+07,-60.4234
9.01571e+07,-60.2117
9.12011e+07,-60.0003
9.22571e+07,-59.7893
9.33254e+07,-59.5787
9.44061e+07,-59.3684
9.54993e+07,-59.1585
9.66051e+07,-58.9489
9.77237e+07,-58.7397
9.88553e+07,-58.5309
1e+08,-58.3223
